docs,0,1,2,4,6,8,16,32,64
512,1008,1204,1070,912,933,822,1167,1263,2981
1024,1421,1793,1673,1540,1428,1230,1736,2360,3134
1536,1829,2212,1878,1668,1590,1475,1974,2877,3479
2048,2344,2826,2039,1913,1899,1789,2536,3216,3500
2560,2529,3168,2459,2382,2268,2076,3171,3379,3681
3072,3192,3332,3018,3001,3099,2712,3816,4128,4307
3584,3639,3679,3491,3477,3288,3091,4188,4489,4486
4096,4135,4328,3630,3595,3323,3230,4335,4623,4628
4608,4679,4781,3786,3584,3485,3310,4436,4718,4815
5120,5201,5228,3837,3753,3536,3491,4525,4929,5278
5632,5580,5683,3900,3891,3785,3607,4890,5098,6205
6144,6218,6213,4090,3921,3811,4022,5108,5237,6924
6656,6423,6557,4154,4020,3927,4746,5348,5350,7645